"algo","PA","run","TSS","species","AUC","species_original","n_occ"
"XGBOOST","PA2","RUN2",0.755,"Amphibalanusamphitrite",0.891,"amphibalanus_amphitrite",178
"RF","PA2","RUN3",0.534,"Amphibalanusamphitrite",0.901,"amphibalanus_amphitrite",178
"MAXNET","PA2","RUN3",0.643,"Amphibalanusamphitrite",0.893,"amphibalanus_amphitrite",178
"MARS","PA2","RUN3",0.626,"Amphibalanusamphitrite",0.879,"amphibalanus_amphitrite",178
"GAM","PA2","RUN3",0.607,"Amphibalanusamphitrite",0.887,"amphibalanus_amphitrite",178
"XGBOOST","PA2","RUN3",0.626,"Amphibalanusamphitrite",0.886,"amphibalanus_amphitrite",178
"RF","PA2","RUN4",0.678,"Amphibalanusamphitrite",0.903,"amphibalanus_amphitrite",178
"MAXNET","PA2","RUN4",0.622,"Amphibalanusamphitrite",0.884,"amphibalanus_amphitrite",178
"MARS","PA2","RUN4",0.672,"Amphibalanusamphitrite",0.886,"amphibalanus_amphitrite",178
"GAM","PA2","RUN4",0.594,"Amphibalanusamphitrite",0.881,"amphibalanus_amphitrite",178
"XGBOOST","PA2","RUN4",0.632,"Amphibalanusamphitrite",0.906,"amphibalanus_amphitrite",178
"RF","PA2","RUN5",0.647,"Amphibalanusamphitrite",0.949,"amphibalanus_amphitrite",178
"MAXNET","PA2","RUN5",0.833,"Amphibalanusamphitrite",0.949,"amphibalanus_amphitrite",178
"MARS","PA2","RUN5",0.805,"Amphibalanusamphitrite",0.952,"amphibalanus_amphitrite",178
"GAM","PA2","RUN5",0.786,"Amphibalanusamphitrite",0.911,"amphibalanus_amphitrite",178
"XGBOOST","PA2","RUN5",0.74,"Amphibalanusamphitrite",0.931,"amphibalanus_amphitrite",178
"RF","PA2","allRun",NA,"Amphibalanusamphitrite",NA,"amphibalanus_amphitrite",178
"MAXNET","PA2","allRun",NA,"Amphibalanusamphitrite",NA,"amphibalanus_amphitrite",178
"MARS","PA2","allRun",NA,"Amphibalanusamphitrite",NA,"amphibalanus_amphitrite",178
"GAM","PA2","allRun",NA,"Amphibalanusamphitrite",NA,"amphibalanus_amphitrite",178
"XGBOOST","PA2","allRun",NA,"Amphibalanusamphitrite",NA,"amphibalanus_amphitrite",178
"RF","PA3","RUN1",0.657,"Amphibalanusamphitrite",0.916,"amphibalanus_amphitrite",178
"MAXNET","PA3","RUN1",0.629,"Amphibalanusamphitrite",0.907,"amphibalanus_amphitrite",178
"MARS","PA3","RUN1",0.712,"Amphibalanusamphitrite",0.934,"amphibalanus_amphitrite",178
"GAM","PA3","RUN1",0.749,"Amphibalanusamphitrite",0.897,"amphibalanus_amphitrite",178
"XGBOOST","PA3","RUN1",0.666,"Amphibalanusamphitrite",0.907,"amphibalanus_amphitrite",178
"RF","PA3","RUN2",0.736,"Amphibalanusamphitrite",0.925,"amphibalanus_amphitrite",178
"MAXNET","PA3","RUN2",0.671,"Amphibalanusamphitrite",0.922,"amphibalanus_amphitrite",178
"MARS","PA3","RUN2",0.717,"Amphibalanusamphitrite",0.901,"amphibalanus_amphitrite",178
"GAM","PA3","RUN2",0.652,"Amphibalanusamphitrite",0.906,"amphibalanus_amphitrite",178
"XGBOOST","PA3","RUN2",0.699,"Amphibalanusamphitrite",0.894,"amphibalanus_amphitrite",178
"RF","PA3","RUN3",0.656,"Amphibalanusamphitrite",0.942,"amphibalanus_amphitrite",178
"MAXNET","PA3","RUN3",0.775,"Amphibalanusamphitrite",0.951,"amphibalanus_amphitrite",178
"MARS","PA3","RUN3",0.747,"Amphibalanusamphitrite",0.939,"amphibalanus_amphitrite",178
"GAM","PA3","RUN3",0.711,"Amphibalanusamphitrite",0.917,"amphibalanus_amphitrite",178
"XGBOOST","PA3","RUN3",0.738,"Amphibalanusamphitrite",0.934,"amphibalanus_amphitrite",178
"RF","PA3","RUN4",0.725,"Amphibalanusamphitrite",0.961,"amphibalanus_amphitrite",178
"MAXNET","PA3","RUN4",0.793,"Amphibalanusamphitrite",0.94,"amphibalanus_amphitrite",178
"MARS","PA3","RUN4",0.85,"Amphibalanusamphitrite",0.952,"amphibalanus_amphitrite",178
"GAM","PA3","RUN4",0.783,"Amphibalanusamphitrite",0.928,"amphibalanus_amphitrite",178
"XGBOOST","PA3","RUN4",0.803,"Amphibalanusamphitrite",0.935,"amphibalanus_amphitrite",178
"RF","PA3","RUN5",0.694,"Amphibalanusamphitrite",0.942,"amphibalanus_amphitrite",178
"MAXNET","PA3","RUN5",0.749,"Amphibalanusamphitrite",0.94,"amphibalanus_amphitrite",178
"MARS","PA3","RUN5",0.684,"Amphibalanusamphitrite",0.92,"amphibalanus_amphitrite",178
"GAM","PA3","RUN5",0.684,"Amphibalanusamphitrite",0.887,"amphibalanus_amphitrite",178
"XGBOOST","PA3","RUN5",0.61,"Amphibalanusamphitrite",0.92,"amphibalanus_amphitrite",178
"RF","PA3","allRun",NA,"Amphibalanusamphitrite",NA,"amphibalanus_amphitrite",178
"MAXNET","PA3","allRun",NA,"Amphibalanusamphitrite",NA,"amphibalanus_amphitrite",178
"MARS","PA3","allRun",NA,"Amphibalanusamphitrite",NA,"amphibalanus_amphitrite",178
"GAM","PA3","allRun",NA,"Amphibalanusamphitrite",NA,"amphibalanus_amphitrite",178
"XGBOOST","PA3","allRun",NA,"Amphibalanusamphitrite",NA,"amphibalanus_amphitrite",178
"RF","allData","allRun",NA,"Amphibalanusamphitrite",NA,"amphibalanus_amphitrite",178
"MAXNET","allData","allRun",NA,"Amphibalanusamphitrite",NA,"amphibalanus_amphitrite",178
"MARS","allData","allRun",NA,"Amphibalanusamphitrite",NA,"amphibalanus_amphitrite",178
"GAM","allData","allRun",NA,"Amphibalanusamphitrite",NA,"amphibalanus_amphitrite",178
"XGBOOST","allData","allRun",NA,"Amphibalanusamphitrite",NA,"amphibalanus_amphitrite",178
"RF","PA1","RUN1",0.788,"Amphibalanuseburneus",0.961,"amphibalanus_eburneus",55
"MAXNET","PA1","RUN1",0.879,"Amphibalanuseburneus",0.953,"amphibalanus_eburneus",55
"MARS","PA1","RUN1",0.879,"Amphibalanuseburneus",0.956,"amphibalanus_eburneus",55
"GAM","PA1","RUN1",0.758,"Amphibalanuseburneus",0.919,"amphibalanus_eburneus",55
"XGBOOST","PA1","RUN1",0.697,"Amphibalanuseburneus",0.967,"amphibalanus_eburneus",55
"RF","PA1","RUN2",0.576,"Amphibalanuseburneus",0.963,"amphibalanus_eburneus",55
"MAXNET","PA1","RUN2",0.879,"Amphibalanuseburneus",0.964,"amphibalanus_eburneus",55
"MARS","PA1","RUN2",0.697,"Amphibalanuseburneus",0.953,"amphibalanus_eburneus",55
